"airlineName","title","content","month","year","rating"
"Pegasus-Airlines","Poor","Staff members not friendly, very poor customer service. Additionally huge lines at the airport. Avoid SAW",10,2023,1
"Pegasus-Airlines","Terrible flight.","The worst airline, which I selected for journey during my about 10 years experience in flights. The flight was delayed for about 2:30 h from Ankara to Istanbul. The company cheats about time of delay and boarding, because they wanted to avioid any reimbursement. Typical rubbish activity.",10,2023,1
"Pegasus-Airlines","Very underrated","Me and the wife were booked on Pegasus airlines for our holiday to Turkey with love holidays and after reading the reviews was not expecting much.We were over the moon with our experience check in and bag drop 5 minutes flight on time going out and coming back 25 minutes check in and bag drop and flight on time. Staff all very pleasant and helpful and I would rate it the best budget airline I have travelled with.",10,2023,5
"Pegasus-Airlines","BAD BAD BAD BAD","Worst airlines EVER! Seriously, IN MY WHOLE LIFE, I have never spoken to a customer service representative as rude as theirs! They are beyond rude and insensitive. They don't even try to help or listen, and they speak in a sarcastic way, as if they are happy you have problems with your flight!",10,2023,1
"Pegasus-Airlines","Horrible service and no any support for passengers","I didn’t ever been in bigger trouble with my road then with this company!
Because they’ve changed gates of departure at last moment, so at my ticket it was written older information. And I missed my flight. No any support from company. Woman from information desk of this company was not at work place for an hour and it was a lot people in queue only to this company. And after waiting they didn’t help to return money or to give new tickets!",10,2023,1
"Pegasus-Airlines","Lost baggage","It was a horrible trip I have experienced.
The seat was too uncomfortable
And worth thing is that after a week, I haven't received my baggage yet unfortunately no one is responding to me.
Don't waste your money on this funking damn airline 🤬🤬🤬🤬",10,2023,1
"Pegasus-Airlines","No customer service provided on long haul flight","£500+ for 5 hours of poor customer service

This is hands down the worst airline I've ever down with.

1. The seating gave me 5 hours of back pain.
2. We received no complimentary food even though it was 5 hour flight.
3. The air con was so overpowered that I left the flight with a cold.
4. They wouldn't even give us free water.
5. There's no space to put your things in the seat in front of you like every other airline.

What were we paying 500+ for exactly?

I've never been so uncomfortable for so long on a flight. even if it's economy, you need to provide free drinking water if the flight is so long, do better.

Tips if you're unfortunate enough to fly with Pegasus Airlines.

1. Bring your own food and liquids/water
2. Prepare for strong air con
3. Bring own entertainment
4. Get an aisle seat because you'll need to stretch your legs due to lack of legroom",10,2023,1
"Pegasus-Airlines","Junk-rated airlines","垃圾航空，别坐，多便宜都别买，糟糕到头了，看人下菜碟，非常不规范的行李配额，完全没有服务观念，飞行感受极其不好！
Never ride！Junk-rated airlines！Random baggage quota！Bad service, rough flying",10,2023,1
"Pegasus-Airlines","Great airline , faultless","We had a great flight , the airport lets you tag your own bags , the process is super easy and efficient.
My boyfriend had a sudden onset of sickness and the crew were amazing . They gave him sick bags and gave us a full row to ourselves so he could lay down and sleep. Faultless airline",10,2023,5
"Pegasus-Airlines","Awful AVOID AT ALL COSTS","WARNING - DO NOT FLY WITH THESE COWBOYS!!

I booked a Pegasus flight with Loveholidays when I booked a trip to Turkey, I saw there were flights with Pegasus and they were fairly cheap, I had never heard of them before so I was a little skeptical but boy oh boy do I wish I checked the review for this poor excuse of a company first.

On our way to our destination our flights were delayed over an hour, no apology was made just expected to just deal with it.

On the actual flight, it was extremely uncomfortable there’s no way of relaxing whatsoever.

For 2 sandwiches and 2 bottles of water it cost 20 Great British Pounds!!! - the sandwiches they give you go out of date on the same day and they don’t accept Apple Pay because they’re clearly stuck in 2003.

They charge more for British cash than euros which is insane as the British pound is worth more, absolute CROOKS!!

They promote that they have ‘wifi’ when the only thing you can connect to is their own website to see the status of the flight, you can’t go on any other website and if you want to play games on THEIR website it’s an extra 4 euros for ‘pReMiUM’

Again, our flights home were delayed by an hour due to their consistent lack of contumacy.

Overall straight 0/10 do not recommend at all, worst flight I’ve been on theyre level with Ryanair.

Do not put yourself through this in life, like they say “you buy cheap, you get cheap”

Never again!!!!!",10,2023,1
