review,fear,anger,anticip,trust,surprise,positive,negative,sadness,disgust,joy,anticipation
great location knowledgeable good price located right old town close everything mins walking tram station good family young kids free mini bar bonus,0.0,0.0,0.0,0.14285714285714285,0.21428571428571427,0.21428571428571427,0.0,0.0,0.0,0.21428571428571427,0.21428571428571427
location best asset nice quiet little boutique zurichs old town easily walkable main train station also convenient exploring old town crossing river modern shopping areas comfortable cozy trip fatherson adventure kind store luggage arrived midmorning transatlantic flight able access exceeding expectations one also enjoyed full complimentary breakfast every member spoke friendly knowledgeable highly recommend booking,0.0,0.0,0.0,0.1111111111111111,0.0,0.5555555555555556,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111
nice great location wonderful check breeze breakfast morning wonderful worked breakfast attentive nice complaint bed bit hard pillows flat,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,0.14285714285714285,
met needs perfectly loved location plenty places eat places see close three us family enough space luggage beds comfortable breakfast good plenty options stored luggage reception day could explore pleasant welcoming would,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666
wife nights end august loved twin bed corner heard little noise street clean well equipped super nice answering dumb questions found switzerlands electrical sockets unique europe adapter didnt fit problem front desk loaned us one breakfast delicious served nice bright plenty restaurants within minute walk train station minutes away ever definitely,0.0,0.0,0.0,0.1,0.1,0.4,0.2,0.0,0.0,0.2,
warm tired international flight quite nice arrive friendly welcoming nicely airconditioned stopped one wanted altstadt area location definitely makes worth money arent equipped much extras tend smaller side altogether fit needs enjoyable,0.0,0.0,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333
located restaurant funky street central perhaps minute walk twostop tram ride central train station small lobby chairs front desk would closed apparently staffing issues first disconcerting smallish generous wardrobe provided space luggage suitcases needed left floor minimal open space bathroom also small shelf window provided plenty space toiletries however immaculate excellent repair like appeared recently redone despite snugness may gotten one,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.25,
older old town good location however lot tourists sector want quiet location might think another spot overall id say disappointed front desk mixed bag friendly folks others rude th floor bit warm request fan even though air conditioned system couldnt properly keep cool enough lounge barely place sit front entry breakfast adequate seriously lacking choices otherwise clean secure guess ill harp people front lasting impression management hire people enjoy meeting caring guests,0.0,0.05263157894736842,0.0,0.15789473684210525,0.05263157894736842,0.21052631578947367,0.05263157894736842,0.15789473684210525,0.05263157894736842,0.15789473684210525,0.10526315789473684
booked tour operator great option small boutiquey type centrally located things main railway station easy minute walk away restaurants doorstep centre good size space put suitcases without tripping always bonus bathroom small functionalbyo soap facilities good excellent shower comfortable beds safe bar fridge added bonus first drink complimentary air con okay reception area relatively small staffed friendly welcoming occasions drinking water supply fruit complimentary breakfast small,0.0,0.0,0.0,0.2,0.08,0.24,0.16,0.0,0.0,0.2,0.12
heart want great location friendly always accommodating eager help host reception nice enough give us early checkin since availability loved,0.0,0.0,0.0,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222
major rip whether bookingcom ripped charging credit card cancellation made prior deadlines two reservations cancelled time bookingcom told cancelled one deadline booking told said cancellation minutes deadline explained could due difference time live hand told cancelled hours deadline telling truth even telling truth provided cancelled reservations time yet charged one also sent ask,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
middle old town perfect location shops good restaurants nice apple coffee machine lobby super friendly helpful arrived pm already ready us clean comfortable air conditioner excellent breakfast excellent everything fresh,0.0,0.0,0.0,0.2692307692307692,0.038461538461538464,0.2692307692307692,0.0,0.0,0.0,0.2692307692307692,0.15384615384615385
pros free minibar breakfast included exceptional location tourists heat pumpair conditioning free coffee lounge strong water pressure excellent customer service cons breakfast adequate mind blowing small expected overall happy,0.0,0.0,0.0,0.25,0.0,0.25,0.125,0.0,0.0,0.25,0.125
couldnt friendly helpful kind none requests seen troublesome every member genuine desire help guests make feel welcome needed packed meal instead breakfast getting early train prepared care reception made sure received absolutely charming receptionist met upon arrival gave plus adapter booked alarm call pleasantly chatty comfortable spotlessly clean soundproofed lively street decor generally style although bathroom super modern fitted high standard theres new sign outside ss bubble font,0.07692307692307693,0.07692307692307693,0.0,0.23076923076923078,0.0,0.23076923076923078,0.07692307692307693,0.0,0.0,0.23076923076923078,0.07692307692307693
efficient great service ver nice breakfast start day well located comfortable beds close everything friendly cooperative would recommend great value,0.0,0.0,0.0,0.3,0.0,0.4,0.0,0.0,0.0,0.1,0.2
friendly helpful helped us getting familiar city clean delicious fresh breakfast included centrally located shopping sites transportation perfect,0.0,0.0,0.0,0.2727272727272727,0.0,0.36363636363636365,0.0,0.0,0.0,0.2727272727272727,0.09090909090909091
lovely location wonderful close zrich hb train station shops old world restaurants nice breakfast ac able checkin early importantly helpful mean much traveling solo thank,0.0,0.0,0.0,0.23076923076923078,0.15384615384615385,0.23076923076923078,0.0,0.07692307692307693,0.0,0.23076923076923078,0.07692307692307693
outstanding reception helpful everything needed asked including suggesting excellent restaurant selected dinner left item returned us immediately responded sent item day clean well organized arranged excellent location old enjoyed breakfast included rate fair rates would definitely recommend,0.0,0.0,0.0,0.2,0.0,0.3333333333333333,0.13333333333333333,0.0,0.0,0.26666666666666666,0.06666666666666667
great spot well appointed super friendly helpful comfortable breakfast good home cooking selected airport didnt get flight back us feel like hit lottery,0.0,0.0,0.0,0.25,0.08333333333333333,0.25,0.0,0.0,0.0,0.25,0.16666666666666666
great location heart old town close restaurants public transport etc spacious separate beds placed good distance apart breakfast plentiful liked touches like free coffee tea day machine free apples friendly,0.0,0.0,0.0,0.15384615384615385,0.07692307692307693,0.38461538461538464,0.0,0.0,0.0,0.15384615384615385,0.23076923076923078
location excellent close everything even little view river window well laid bathroom large functional included breakfast excellent everyone interacted extremely knowledgeable friendly happy help overall excellent highly recommend looking clean comfortable conveniently located excellent,0.0,0.0,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.0,0.0,0.29411764705882354,0.11764705882352941
excellent location center old town good service comfortable air conditioning breakfast included saved us time morning looked new ample space always clean bathroom bit small acceptable,0.0,0.0,0.0,0.23076923076923078,0.07692307692307693,0.3076923076923077,0.07692307692307693,0.0,0.0,0.23076923076923078,0.07692307692307693
reviewers noted wonderfully located explore easy walk train station great place start exploring old town quite small bathroom airplane small shower good water pressure plenty hot water unfortunately bathroom strong urine smell permeated entry hallway located busy pedestrian thoroughfare unfortunately thoroughfare busy wee hours morning st floor could hear people street well past told windows soundproofed im sure solves problem could still hear late revealers event,0.0,0.06666666666666667,0.0,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.26666666666666666,0.06666666666666667,0.0,0.13333333333333333,0.13333333333333333
friendly everything need need small cute place sleep spend much time great partnerships bus museum passes zoo front desk marc incredible super kind,0.0,0.0,0.0,0.16666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
location cant beat less five minute walk dozens restaurants bars main train station lake various bustram stops simple effective power outlets swiss also offered ukstyle plug desk helpful ac included controls simple tv small big deal minifridge available everything get drink pay refills included two beers two waters coca cola maybe things included breakfast day always good breakfast friendly never issues overcrowded overall,0.0,0.0,0.0,0.25,0.0625,0.3125,0.0625,0.0,0.0,0.1875,0.125
awful air conditioner work open windows july cool minimally renovated era rough plaster walls old doors etc smelled smoke recommend usd per absolute joke better options exist altstadt,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,
wonderful quiet safe street one block river old town zrich beds super comfortable well appointed bathroom clean friendly helpful great continental breakfast lots variety easy minute walk hb train station lots restaurants shops close coop grocery store minutes away minute walk board boats lake bellevue tram station minutes away highly recommend,0.0,0.05263157894736842,0.0,0.21052631578947367,0.05263157894736842,0.2631578947368421,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.21052631578947367,0.05263157894736842
cleanest hot shower delicious plentiful breakfast helpful pleasant central location teammonorail nearby river good restaurants gelato right outside chagall windows nearby church bonus,0.0,0.058823529411764705,0.0,0.17647058823529413,0.11764705882352941,0.29411764705882354,0.0,0.0,0.0,0.23529411764705882,0.11764705882352941
location ideal short walk train station exceptionally accommodating breakfast provides good variety food bathroom small sufficient two people airconditioning yet common switzerland,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
nice located niederdorfstrasse pedestrian street old city single bed top floor big still cosy comfortable small breakfast offers decent continental breakfast friendly helpful nearby plenty restaurants pubs within walking distance polybahn cable car takes beautiful historic eth university hundred meters away,0.0,0.0,0.0,0.2,0.0,0.3333333333333333,0.13333333333333333,0.0,0.0,0.2,0.13333333333333333
magic mark reception really helpful went way order service mother took care restaurant taxi reservations provided us mobile wifi excellent saved us lot time effort,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25
small looks smaller picture super clean sound proof slept really well surprised extra charge extra person total restocking mini bar whats free second good location old town adult venues close dont bother would definitely go back,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.0,0.0,0.16666666666666666,0.08333333333333333
super clean comfortable situated old town surrounded wide variety food outlets easy access waterways new town friendly helpful going way make holiday experience good nothing seems much trouble,0.0,0.0,0.0,0.2,0.06666666666666667,0.26666666666666666,0.0,0.0,0.0,0.26666666666666666,0.2
positives great central location helpful reception clean negatives felt overpriced get breakfast disappointing poor choice quality coffee great bread fresh scrambled eggs solidified much sleep nowhere sit relax,0.0,0.08333333333333333,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.16666666666666666,
